,Ligand,Receptor,Pathway,Category
58,Gdf5,Acvr2a,BMP,Secreted Signaling
59,Gdf5,Bmpr1b,BMP,Secreted Signaling
60,Gdf5,Acvr2b,BMP,Secreted Signaling
61,Gdf5,Bmpr1b,BMP,Secreted Signaling
62,Gdf5,Bmpr2,BMP,Secreted Signaling
63,Gdf6,Bmpr1a,BMP,Secreted Signaling
64,Gdf6,Acvr2a,BMP,Secreted Signaling
65,Gdf6,Bmpr1a,BMP,Secreted Signaling
66,Gdf6,Acvr2b,BMP,Secreted Signaling
67,Gdf6,Bmpr1a,BMP,Secreted Signaling
68,Gdf6,Bmpr2,BMP,Secreted Signaling
69,Gdf6,Bmpr1b,BMP,Secreted Signaling
70,Gdf6,Acvr2a,BMP,Secreted Signaling
71,Gdf6,Bmpr1b,BMP,Secreted Signaling
72,Gdf6,Acvr2b,BMP,Secreted Signaling
73,Gdf6,Bmpr1b,BMP,Secreted Signaling
74,Gdf6,Bmpr2,BMP,Secreted Signaling
75,Gdf7,Bmpr1a,BMP,Secreted Signaling
76,Gdf7,Acvr2a,BMP,Secreted Signaling
77,Gdf7,Bmpr1a,BMP,Secreted Signaling
78,Gdf7,Acvr2b,BMP,Secreted Signaling
79,Gdf7,Bmpr1a,BMP,Secreted Signaling
80,Gdf7,Bmpr2,BMP,Secreted Signaling
81,Gdf7,Bmpr1b,BMP,Secreted Signaling
82,Gdf7,Acvr2a,BMP,Secreted Signaling
83,Gdf7,Bmpr1b,BMP,Secreted Signaling
84,Gdf7,Acvr2b,BMP,Secreted Signaling
85,Gdf7,Bmpr1b,BMP,Secreted Signaling
86,Gdf7,Bmpr2,BMP,Secreted Signaling
87,Bmp15,Bmpr1b,BMP,Secreted Signaling
88,Bmp15,Bmpr2,BMP,Secreted Signaling
89,Bmp5,Acvr1,BMP,Secreted Signaling
90,Bmp5,Acvr2a,BMP,Secreted Signaling
91,Bmp5,Acvr1,BMP,Secreted Signaling
92,Bmp5,Acvr2b,BMP,Secreted Signaling
93,Bmp5,Acvr1,BMP,Secreted Signaling
94,Bmp5,Bmpr2,BMP,Secreted Signaling
95,Bmp5,Bmpr1a,BMP,Secreted Signaling
96,Bmp5,Acvr2a,BMP,Secreted Signaling
97,Bmp5,Bmpr1a,BMP,Secreted Signaling
98,Bmp5,Acvr2b,BMP,Secreted Signaling
99,Bmp5,Bmpr1a,BMP,Secreted Signaling
100,Bmp5,Bmpr2,BMP,Secreted Signaling
101,Bmp5,Bmpr1b,BMP,Secreted Signaling
102,Bmp5,Acvr2a,BMP,Secreted Signaling
103,Bmp5,Bmpr1b,BMP,Secreted Signaling
104,Bmp5,Acvr2b,BMP,Secreted Signaling
105,Bmp5,Bmpr1b,BMP,Secreted Signaling
106,Bmp5,Bmpr2,BMP,Secreted Signaling
107,Bmp6,Acvr1,BMP,Secreted Signaling
108,Bmp6,Acvr2a,BMP,Secreted Signaling
109,Bmp6,Acvr1,BMP,Secreted Signaling
110,Bmp6,Acvr2b,BMP,Secreted Signaling
111,Bmp6,Acvr1,BMP,Secreted Signaling
112,Bmp6,Bmpr2,BMP,Secreted Signaling
113,Bmp6,Bmpr1a,BMP,Secreted Signaling
114,Bmp6,Acvr2a,BMP,Secreted Signaling
115,Bmp6,Bmpr1a,BMP,Secreted Signaling
116,Bmp6,Acvr2b,BMP,Secreted Signaling
117,Bmp6,Bmpr1a,BMP,Secreted Signaling
118,Bmp6,Bmpr2,BMP,Secreted Signaling
119,Bmp6,Bmpr1b,BMP,Secreted Signaling
120,Bmp6,Acvr2a,BMP,Secreted Signaling
121,Bmp6,Bmpr1b,BMP,Secreted Signaling
122,Bmp6,Acvr2b,BMP,Secreted Signaling
123,Bmp6,Bmpr1b,BMP,Secreted Signaling
124,Bmp6,Bmpr2,BMP,Secreted Signaling
125,Bmp7,Acvr1,BMP,Secreted Signaling
126,Bmp7,Acvr2a,BMP,Secreted Signaling
127,Bmp7,Acvr1,BMP,Secreted Signaling
128,Bmp7,Acvr2b,BMP,Secreted Signaling
129,Bmp7,Acvr1,BMP,Secreted Signaling
130,Bmp7,Bmpr2,BMP,Secreted Signaling
131,Bmp7,Bmpr1a,BMP,Secreted Signaling
132,Bmp7,Acvr2a,BMP,Secreted Signaling
133,Bmp7,Bmpr1a,BMP,Secreted Signaling
134,Bmp7,Acvr2b,BMP,Secreted Signaling
135,Bmp7,Bmpr1a,BMP,Secreted Signaling
136,Bmp7,Bmpr2,BMP,Secreted Signaling
137,Bmp7,Bmpr1b,BMP,Secreted Signaling
138,Bmp7,Acvr2a,BMP,Secreted Signaling
139,Bmp7,Bmpr1b,BMP,Secreted Signaling
140,Bmp7,Acvr2b,BMP,Secreted Signaling
141,Bmp7,Bmpr1b,BMP,Secreted Signaling
142,Bmp7,Bmpr2,BMP,Secreted Signaling
143,Bmp8a,Acvr1,BMP,Secreted Signaling
144,Bmp8a,Acvr2a,BMP,Secreted Signaling
145,Bmp8a,Acvr1,BMP,Secreted Signaling
146,Bmp8a,Acvr2b,BMP,Secreted Signaling
147,Bmp8a,Acvr1,BMP,Secreted Signaling
148,Bmp8a,Bmpr2,BMP,Secreted Signaling
149,Bmp8a,Bmpr1a,BMP,Secreted Signaling
150,Bmp8a,Acvr2a,BMP,Secreted Signaling
151,Bmp8a,Bmpr1a,BMP,Secreted Signaling
152,Bmp8a,Acvr2b,BMP,Secreted Signaling
153,Bmp8a,Bmpr1a,BMP,Secreted Signaling
154,Bmp8a,Bmpr2,BMP,Secreted Signaling
155,Bmp8a,Bmpr1b,BMP,Secreted Signaling
156,Bmp8a,Acvr2a,BMP,Secreted Signaling
157,Bmp8a,Bmpr1b,BMP,Secreted Signaling
158,Bmp8a,Acvr2b,BMP,Secreted Signaling
159,Bmp8a,Bmpr1b,BMP,Secreted Signaling
160,Bmp8a,Bmpr2,BMP,Secreted Signaling
161,Bmp8b,Acvr1,BMP,Secreted Signaling
162,Bmp8b,Acvr2a,BMP,Secreted Signaling
163,Bmp8b,Acvr1,BMP,Secreted Signaling
164,Bmp8b,Acvr2b,BMP,Secreted Signaling
165,Bmp8b,Acvr1,BMP,Secreted Signaling
166,Bmp8b,Bmpr2,BMP,Secreted Signaling
167,Bmp8b,Bmpr1a,BMP,Secreted Signaling
168,Bmp8b,Acvr2a,BMP,Secreted Signaling
169,Bmp8b,Bmpr1a,BMP,Secreted Signaling
170,Bmp8b,Acvr2b,BMP,Secreted Signaling
171,Bmp8b,Bmpr1a,BMP,Secreted Signaling
172,Bmp8b,Bmpr2,BMP,Secreted Signaling
173,Bmp8b,Bmpr1b,BMP,Secreted Signaling
174,Bmp8b,Acvr2a,BMP,Secreted Signaling
175,Bmp8b,Bmpr1b,BMP,Secreted Signaling
176,Bmp8b,Acvr2b,BMP,Secreted Signaling
177,Bmp8b,Bmpr1b,BMP,Secreted Signaling
178,Bmp8b,Bmpr2,BMP,Secreted Signaling
179,Bmp10,Acvrl1,BMP10,Secreted Signaling
180,Bmp10,Bmpr2,BMP10,Secreted Signaling
181,Bmp10,Acvrl1,BMP10,Secreted Signaling
182,Bmp10,Acvr2a,BMP10,Secreted Signaling
183,Gdf2,Acvrl1,BMP10,Secreted Signaling
184,Gdf2,Bmpr2,BMP10,Secreted Signaling
185,Gdf2,Acvrl1,BMP10,Secreted Signaling
186,Gdf2,Acvr2a,BMP10,Secreted Signaling
187,Gdf9,Acvr1b,GDF,Secreted Signaling
188,Gdf9,Bmpr2,GDF,Secreted Signaling
189,Gdf10,Acvr1b,GDF,Secreted Signaling
190,Gdf10,Acvr2a,GDF,Secreted Signaling
191,Gdf11,Tgfbr1,GDF,Secreted Signaling
192,Gdf11,Acvr2a,GDF,Secreted Signaling
193,Gdf11,Tgfbr1,GDF,Secreted Signaling
194,Gdf11,Acvr2b,GDF,Secreted Signaling
195,Gdf11,Acvr1b,GDF,Secreted Signaling
196,Gdf11,Acvr2b,GDF,Secreted Signaling
197,Gdf15,Tgfbr2,GDF,Secreted Signaling
198,Mstn,Tgfbr1,MSTN,Secreted Signaling
199,Mstn,Acvr2b,MSTN,Secreted Signaling
200,Mstn,Acvr1b,MSTN,Secreted Signaling
201,Mstn,Acvr2b,MSTN,Secreted Signaling
202,Mstn,Acvr1b,MSTN,Secreted Signaling
203,Mstn,Acvr2a,MSTN,Secreted Signaling
204,Mstn,Tgfbr1,MSTN,Secreted Signaling
205,Mstn,Acvr2a,MSTN,Secreted Signaling
206,Amh,Amhr2,AMH,Secreted Signaling
207,Amh,Acvr1,AMH,Secreted Signaling
208,Amh,Amhr2,AMH,Secreted Signaling
209,Amh,Bmpr1a,AMH,Secreted Signaling
210,Gdnf,Gfra1,GDNF,Secreted Signaling
211,Gdnf,Ret,GDNF,Secreted Signaling
212,Nrtn,Gfra2,GDNF,Secreted Signaling
213,Nrtn,Ret,GDNF,Secreted Signaling
214,Artn,Gfra3,GDNF,Secreted Signaling
215,Artn,Ret,GDNF,Secreted Signaling
216,Pspn,Gfra4,GDNF,Secreted Signaling
217,Pspn,Ret,GDNF,Secreted Signaling
218,Artn,Gfra1,GDNF,Secreted Signaling
219,Artn,Ret,GDNF,Secreted Signaling
220,Nodal,Acvr1b,NODAL,Secreted Signaling
221,Nodal,Acvr2a,NODAL,Secreted Signaling
222,Nodal,Cfc1,NODAL,Secreted Signaling
223,Nodal,Acvr1c,NODAL,Secreted Signaling
224,Nodal,Acvr2a,NODAL,Secreted Signaling
225,Nodal,Cfc1,NODAL,Secreted Signaling
226,Nodal,Acvr1b,NODAL,Secreted Signaling
227,Nodal,Acvr2b,NODAL,Secreted Signaling
228,Nodal,Cfc1,NODAL,Secreted Signaling
229,Nodal,Acvr1c,NODAL,Secreted Signaling
230,Nodal,Acvr2b,NODAL,Secreted Signaling
231,Nodal,Cfc1,NODAL,Secreted Signaling
232,Gdf1,Acvr1b,NODAL,Secreted Signaling
233,Gdf1,Acvr2a,NODAL,Secreted Signaling
234,Gdf1,Cfc1,NODAL,Secreted Signaling
235,Gdf1,Acvr1b,NODAL,Secreted Signaling
236,Gdf1,Acvr2b,NODAL,Secreted Signaling
237,Gdf1,Cfc1,NODAL,Secreted Signaling
238,Gdf1,Acvr1c,NODAL,Secreted Signaling
239,Gdf1,Acvr2a,NODAL,Secreted Signaling
240,Gdf1,Cfc1,NODAL,Secreted Signaling
241,Gdf1,Acvr1c,NODAL,Secreted Signaling
242,Gdf1,Acvr2b,NODAL,Secreted Signaling
243,Gdf1,Cfc1,NODAL,Secreted Signaling
244,Gdf3,Acvr1b,NODAL,Secreted Signaling
245,Gdf3,Acvr2a,NODAL,Secreted Signaling
246,Gdf3,Cfc1,NODAL,Secreted Signaling
247,Gdf3,Acvr1b,NODAL,Secreted Signaling
248,Gdf3,Acvr2b,NODAL,Secreted Signaling
249,Gdf3,Cfc1,NODAL,Secreted Signaling
250,Gdf3,Acvr1c,NODAL,Secreted Signaling
251,Gdf3,Acvr2a,NODAL,Secreted Signaling
252,Gdf3,Cfc1,NODAL,Secreted Signaling
253,Gdf3,Acvr1c,NODAL,Secreted Signaling
254,Gdf3,Acvr2b,NODAL,Secreted Signaling
255,Gdf3,Cfc1,NODAL,Secreted Signaling
256,Inhba,Acvr1b,ACTIVIN,Secreted Signaling
257,Inhba,Acvr2a,ACTIVIN,Secreted Signaling
258,Inhba,Acvr1b,ACTIVIN,Secreted Signaling
259,Inhba,Acvr2b,ACTIVIN,Secreted Signaling
260,Inhbb,Acvr1b,ACTIVIN,Secreted Signaling
261,Inhbb,Acvr2a,ACTIVIN,Secreted Signaling
262,Inhbb,Acvr1b,ACTIVIN,Secreted Signaling
263,Inhbb,Acvr2b,ACTIVIN,Secreted Signaling
264,Inhbb,Acvr1c,ACTIVIN,Secreted Signaling
265,Inhbb,Acvr2a,ACTIVIN,Secreted Signaling
266,Inhbb,Acvr1c,ACTIVIN,Secreted Signaling
267,Inhbb,Acvr2b,ACTIVIN,Secreted Signaling
268,Inhbc,Acvr1b,ACTIVIN,Secreted Signaling
269,Inhbc,Acvr2a,ACTIVIN,Secreted Signaling
270,Inhbc,Acvr1b,ACTIVIN,Secreted Signaling
271,Inhbc,Acvr2b,ACTIVIN,Secreted Signaling
272,Inhbc,Acvr1c,ACTIVIN,Secreted Signaling
273,Inhbc,Acvr2a,ACTIVIN,Secreted Signaling
274,Inhbc,Acvr1c,ACTIVIN,Secreted Signaling
275,Inhbc,Acvr2b,ACTIVIN,Secreted Signaling
276,Inhbe,Acvr1b,ACTIVIN,Secreted Signaling
277,Inhbe,Acvr2a,ACTIVIN,Secreted Signaling
278,Inhbe,Acvr1b,ACTIVIN,Secreted Signaling
279,Inhbe,Acvr2b,ACTIVIN,Secreted Signaling
280,Inhbe,Acvr1c,ACTIVIN,Secreted Signaling
281,Inhbe,Acvr2a,ACTIVIN,Secreted Signaling
282,Inhbe,Acvr1c,ACTIVIN,Secreted Signaling
283,Inhbe,Acvr2b,ACTIVIN,Secreted Signaling
284,Inhba,Acvr1b,ACTIVIN,Secreted Signaling
285,Inhba,Acvr2a,ACTIVIN,Secreted Signaling
286,Inhbb,Acvr1b,ACTIVIN,Secreted Signaling
287,Inhbb,Acvr2a,ACTIVIN,Secreted Signaling
288,Inhba,Acvr1b,ACTIVIN,Secreted Signaling
289,Inhba,Acvr2b,ACTIVIN,Secreted Signaling
290,Inhbb,Acvr1b,ACTIVIN,Secreted Signaling
291,Inhbb,Acvr2b,ACTIVIN,Secreted Signaling
292,Inhba,Acvr1c,ACTIVIN,Secreted Signaling
293,Inhba,Acvr2a,ACTIVIN,Secreted Signaling
294,Inhbb,Acvr1c,ACTIVIN,Secreted Signaling
295,Inhbb,Acvr2a,ACTIVIN,Secreted Signaling
296,Inhba,Acvr1c,ACTIVIN,Secreted Signaling
297,Inhba,Acvr2b,ACTIVIN,Secreted Signaling
298,Inhbb,Acvr1c,ACTIVIN,Secreted Signaling
299,Inhbb,Acvr2b,ACTIVIN,Secreted Signaling
300,Inha,Acvr2a,ACTIVIN,Secreted Signaling
301,Inhba,Acvr2a,ACTIVIN,Secreted Signaling
302,Inha,Acvr2b,ACTIVIN,Secreted Signaling
303,Inhbb,Acvr2b,ACTIVIN,Secreted Signaling
304,Wnt1,Fzd1,WNT,Secreted Signaling
305,Wnt1,Lrp5,WNT,Secreted Signaling
306,Wnt1,Fzd10,WNT,Secreted Signaling
307,Wnt1,Lrp5,WNT,Secreted Signaling
308,Wnt1,Fzd2,WNT,Secreted Signaling
309,Wnt1,Lrp5,WNT,Secreted Signaling
310,Wnt1,Fzd3,WNT,Secreted Signaling
311,Wnt1,Lrp5,WNT,Secreted Signaling
312,Wnt1,Fzd4,WNT,Secreted Signaling
313,Wnt1,Lrp5,WNT,Secreted Signaling
314,Wnt1,Fzd5,WNT,Secreted Signaling
315,Wnt1,Lrp5,WNT,Secreted Signaling
316,Wnt1,Fzd6,WNT,Secreted Signaling
317,Wnt1,Lrp5,WNT,Secreted Signaling
318,Wnt1,Fzd7,WNT,Secreted Signaling
319,Wnt1,Lrp5,WNT,Secreted Signaling
320,Wnt1,Fzd8,WNT,Secreted Signaling
321,Wnt1,Lrp5,WNT,Secreted Signaling
322,Wnt1,Fzd9,WNT,Secreted Signaling
323,Wnt1,Lrp5,WNT,Secreted Signaling
324,Wnt10a,Fzd1,WNT,Secreted Signaling
325,Wnt10a,Lrp5,WNT,Secreted Signaling
326,Wnt10a,Fzd10,WNT,Secreted Signaling
327,Wnt10a,Lrp5,WNT,Secreted Signaling
328,Wnt10a,Fzd2,WNT,Secreted Signaling
329,Wnt10a,Lrp5,WNT,Secreted Signaling
330,Wnt10a,Fzd3,WNT,Secreted Signaling
331,Wnt10a,Lrp5,WNT,Secreted Signaling
332,Wnt10a,Fzd4,WNT,Secreted Signaling
333,Wnt10a,Lrp5,WNT,Secreted Signaling
334,Wnt10a,Fzd5,WNT,Secreted Signaling
335,Wnt10a,Lrp5,WNT,Secreted Signaling
336,Wnt10a,Fzd6,WNT,Secreted Signaling
337,Wnt10a,Lrp5,WNT,Secreted Signaling
338,Wnt10a,Fzd7,WNT,Secreted Signaling
339,Wnt10a,Lrp5,WNT,Secreted Signaling
340,Wnt10a,Fzd8,WNT,Secreted Signaling
341,Wnt10a,Lrp5,WNT,Secreted Signaling
342,Wnt10a,Fzd9,WNT,Secreted Signaling
343,Wnt10a,Lrp5,WNT,Secreted Signaling
344,Wnt10b,Fzd1,WNT,Secreted Signaling
345,Wnt10b,Lrp5,WNT,Secreted Signaling
346,Wnt10b,Fzd10,WNT,Secreted Signaling
347,Wnt10b,Lrp5,WNT,Secreted Signaling
348,Wnt10b,Fzd2,WNT,Secreted Signaling
349,Wnt10b,Lrp5,WNT,Secreted Signaling
350,Wnt10b,Fzd3,WNT,Secreted Signaling
351,Wnt10b,Lrp5,WNT,Secreted Signaling
352,Wnt10b,Fzd4,WNT,Secreted Signaling
353,Wnt10b,Lrp5,WNT,Secreted Signaling
354,Wnt10b,Fzd5,WNT,Secreted Signaling
355,Wnt10b,Lrp5,WNT,Secreted Signaling
356,Wnt10b,Fzd6,WNT,Secreted Signaling
357,Wnt10b,Lrp5,WNT,Secreted Signaling
358,Wnt10b,Fzd7,WNT,Secreted Signaling
359,Wnt10b,Lrp5,WNT,Secreted Signaling
360,Wnt10b,Fzd8,WNT,Secreted Signaling
361,Wnt10b,Lrp5,WNT,Secreted Signaling
362,Wnt10b,Fzd9,WNT,Secreted Signaling
363,Wnt10b,Lrp5,WNT,Secreted Signaling
364,Wnt16,Fzd1,WNT,Secreted Signaling
365,Wnt16,Lrp5,WNT,Secreted Signaling
366,Wnt16,Fzd10,WNT,Secreted Signaling
367,Wnt16,Lrp5,WNT,Secreted Signaling
368,Wnt16,Fzd2,WNT,Secreted Signaling
369,Wnt16,Lrp5,WNT,Secreted Signaling
370,Wnt16,Fzd3,WNT,Secreted Signaling
371,Wnt16,Lrp5,WNT,Secreted Signaling
372,Wnt16,Fzd4,WNT,Secreted Signaling
373,Wnt16,Lrp5,WNT,Secreted Signaling
374,Wnt16,Fzd5,WNT,Secreted Signaling
375,Wnt16,Lrp5,WNT,Secreted Signaling
376,Wnt16,Fzd6,WNT,Secreted Signaling
377,Wnt16,Lrp5,WNT,Secreted Signaling
378,Wnt16,Fzd7,WNT,Secreted Signaling
379,Wnt16,Lrp5,WNT,Secreted Signaling
380,Wnt16,Fzd8,WNT,Secreted Signaling
381,Wnt16,Lrp5,WNT,Secreted Signaling
382,Wnt16,Fzd9,WNT,Secreted Signaling
383,Wnt16,Lrp5,WNT,Secreted Signaling
384,Wnt2,Fzd1,WNT,Secreted Signaling
385,Wnt2,Lrp5,WNT,Secreted Signaling
386,Wnt2,Fzd10,WNT,Secreted Signaling
387,Wnt2,Lrp5,WNT,Secreted Signaling
388,Wnt2,Fzd2,WNT,Secreted Signaling
389,Wnt2,Lrp5,WNT,Secreted Signaling
390,Wnt2,Fzd3,WNT,Secreted Signaling
391,Wnt2,Lrp5,WNT,Secreted Signaling
392,Wnt2,Fzd4,WNT,Secreted Signaling
393,Wnt2,Lrp5,WNT,Secreted Signaling
394,Wnt2,Fzd5,WNT,Secreted Signaling
395,Wnt2,Lrp5,WNT,Secreted Signaling
396,Wnt2,Fzd6,WNT,Secreted Signaling
397,Wnt2,Lrp5,WNT,Secreted Signaling
398,Wnt2,Fzd7,WNT,Secreted Signaling
399,Wnt2,Lrp5,WNT,Secreted Signaling
400,Wnt2,Fzd8,WNT,Secreted Signaling
401,Wnt2,Lrp5,WNT,Secreted Signaling
402,Wnt2,Fzd9,WNT,Secreted Signaling
403,Wnt2,Lrp5,WNT,Secreted Signaling
404,Wnt2b,Fzd1,WNT,Secreted Signaling
405,Wnt2b,Lrp5,WNT,Secreted Signaling
406,Wnt2b,Fzd10,WNT,Secreted Signaling
407,Wnt2b,Lrp5,WNT,Secreted Signaling
408,Wnt2b,Fzd2,WNT,Secreted Signaling
409,Wnt2b,Lrp5,WNT,Secreted Signaling
410,Wnt2b,Fzd3,WNT,Secreted Signaling
411,Wnt2b,Lrp5,WNT,Secreted Signaling
412,Wnt2b,Fzd4,WNT,Secreted Signaling
413,Wnt2b,Lrp5,WNT,Secreted Signaling
414,Wnt2b,Fzd5,WNT,Secreted Signaling
415,Wnt2b,Lrp5,WNT,Secreted Signaling
416,Wnt2b,Fzd6,WNT,Secreted Signaling
417,Wnt2b,Lrp5,WNT,Secreted Signaling
418,Wnt2b,Fzd7,WNT,Secreted Signaling
419,Wnt2b,Lrp5,WNT,Secreted Signaling
420,Wnt2b,Fzd8,WNT,Secreted Signaling
421,Wnt2b,Lrp5,WNT,Secreted Signaling
422,Wnt2b,Fzd9,WNT,Secreted Signaling
423,Wnt2b,Lrp5,WNT,Secreted Signaling
424,Wnt3,Fzd1,WNT,Secreted Signaling
425,Wnt3,Lrp5,WNT,Secreted Signaling
426,Wnt3,Fzd10,WNT,Secreted Signaling
427,Wnt3,Lrp5,WNT,Secreted Signaling
428,Wnt3,Fzd2,WNT,Secreted Signaling
429,Wnt3,Lrp5,WNT,Secreted Signaling
430,Wnt3,Fzd3,WNT,Secreted Signaling
431,Wnt3,Lrp5,WNT,Secreted Signaling
432,Wnt3,Fzd4,WNT,Secreted Signaling
433,Wnt3,Lrp5,WNT,Secreted Signaling
434,Wnt3,Fzd5,WNT,Secreted Signaling
435,Wnt3,Lrp5,WNT,Secreted Signaling
436,Wnt3,Fzd6,WNT,Secreted Signaling
437,Wnt3,Lrp5,WNT,Secreted Signaling
438,Wnt3,Fzd7,WNT,Secreted Signaling
439,Wnt3,Lrp5,WNT,Secreted Signaling
440,Wnt3,Fzd8,WNT,Secreted Signaling
441,Wnt3,Lrp5,WNT,Secreted Signaling
442,Wnt3,Fzd9,WNT,Secreted Signaling
443,Wnt3,Lrp5,WNT,Secreted Signaling
444,Wnt3a,Fzd1,WNT,Secreted Signaling
445,Wnt3a,Lrp5,WNT,Secreted Signaling
446,Wnt3a,Fzd10,WNT,Secreted Signaling
447,Wnt3a,Lrp5,WNT,Secreted Signaling
448,Wnt3a,Fzd2,WNT,Secreted Signaling
449,Wnt3a,Lrp5,WNT,Secreted Signaling
450,Wnt3a,Fzd3,WNT,Secreted Signaling
451,Wnt3a,Lrp5,WNT,Secreted Signaling
452,Wnt3a,Fzd4,WNT,Secreted Signaling
453,Wnt3a,Lrp5,WNT,Secreted Signaling
454,Wnt3a,Fzd5,WNT,Secreted Signaling
455,Wnt3a,Lrp5,WNT,Secreted Signaling
456,Wnt3a,Fzd6,WNT,Secreted Signaling
457,Wnt3a,Lrp5,WNT,Secreted Signaling
458,Wnt3a,Fzd7,WNT,Secreted Signaling
459,Wnt3a,Lrp5,WNT,Secreted Signaling
460,Wnt3a,Fzd8,WNT,Secreted Signaling
461,Wnt3a,Lrp5,WNT,Secreted Signaling
462,Wnt3a,Fzd9,WNT,Secreted Signaling
463,Wnt3a,Lrp5,WNT,Secreted Signaling
464,Wnt4,Fzd1,WNT,Secreted Signaling
465,Wnt4,Lrp5,WNT,Secreted Signaling
466,Wnt4,Fzd10,WNT,Secreted Signaling
467,Wnt4,Lrp5,WNT,Secreted Signaling
468,Wnt4,Fzd2,WNT,Secreted Signaling
469,Wnt4,Lrp5,WNT,Secreted Signaling
470,Wnt4,Fzd3,WNT,Secreted Signaling
471,Wnt4,Lrp5,WNT,Secreted Signaling
472,Wnt4,Fzd4,WNT,Secreted Signaling
473,Wnt4,Lrp5,WNT,Secreted Signaling
474,Wnt4,Fzd5,WNT,Secreted Signaling
475,Wnt4,Lrp5,WNT,Secreted Signaling
476,Wnt4,Fzd6,WNT,Secreted Signaling
477,Wnt4,Lrp5,WNT,Secreted Signaling
478,Wnt4,Fzd7,WNT,Secreted Signaling
479,Wnt4,Lrp5,WNT,Secreted Signaling
480,Wnt4,Fzd8,WNT,Secreted Signaling
481,Wnt4,Lrp5,WNT,Secreted Signaling
482,Wnt4,Fzd9,WNT,Secreted Signaling
483,Wnt4,Lrp5,WNT,Secreted Signaling
484,Wnt6,Fzd1,WNT,Secreted Signaling
485,Wnt6,Lrp5,WNT,Secreted Signaling
486,Wnt6,Fzd10,WNT,Secreted Signaling
487,Wnt6,Lrp5,WNT,Secreted Signaling
488,Wnt6,Fzd2,WNT,Secreted Signaling
489,Wnt6,Lrp5,WNT,Secreted Signaling
490,Wnt6,Fzd3,WNT,Secreted Signaling
